ECS_id	Type	SignalCoverageRadius(m)	DeploymentLocation(coord)	ResourceCapacity	
1	S	30			(1,30)			[40,10,80,300]	
2	S	30			(1,90)			[40,10,80,300]	
3	S	30			(30,1)			[40,10,80,300]	
4	S	30			(30,30)			[40,10,80,300]	
5	S	30			(30,60)			[40,10,80,300]	
6	S	30			(30,90)			[40,10,80,300]	
7	S	30			(30,120)			[40,10,80,300]	
8	S	30			(60,30)			[40,10,80,300]	
9	S	30			(60,90)			[40,10,80,300]	
10	S	30			(90,1)			[40,10,80,300]	
11	S	30			(90,30)			[40,10,80,300]	
12	S	30			(90,60)			[40,10,80,300]	
13	S	30			(90,90)			[40,10,80,300]	
14	S	30			(90,120)			[40,10,80,300]	
15	S	30			(120,30)			[40,10,80,300]	
16	S	30			(120,90)			[40,10,80,300]	
